sample-id,watersample,depth,location,station
#q2:types,categorical,numeric,categorical,categorical
Sample-001,424001,7.9,Musquash,Zone_2B_2
Sample-002,424002,7.9,Musquash,Zone_2B_2
Sample-003,424003,9,Musquash,Zone_2B_2
Sample-004,424004,11,Musquash,Zone_2B_3
Sample-005,424005,11,Musquash,Zone_2B_3
Sample-006,424006,11,Musquash,Zone_2B_3
Sample-007,424007,13.7,Musquash,Zone_2B_1
Sample-008,424008,13.7,Musquash,Zone_2B_1
Sample-009,424009,13.7,Musquash,Zone_2B_1
Sample-010,424010,16.7,Musquash,Zone_3_1
Sample-011,424011,16.7,Musquash,Zone_3_1
Sample-012,424012,16.7,Musquash,Zone_3_1
Sample-013,424013,15.8,Musquash,Zone_3_4
Sample-014,424014,15.8,Musquash,Zone_3_4
Sample-015,424015,15.8,Musquash,Zone_3_4
Sample-016,424016,17.2,Musquash,Zone_3-3
Sample-017,424017,17.2,Musquash,Zone_3-3
Sample-018,424018,17.2,Musquash,Zone_3-3
Sample-019,424019,20.1,Musquash,Zone_3_2
Sample-020,424020,20.1,Musquash,Zone_3_2
Sample-021,424021,20.1,Musquash,Zone_3_2
Sample-022,424022,6.7,Musquash,Zone_2a_12
Sample-023,424023,6.7,Musquash,Zone_2a_12
Sample-024,424024,6.7,Musquash,Zone_2a_12
Sample-025,424025,6.6,Musquash,Zone_2a_10
Sample-026,424026,6.6,Musquash,Zone_2a_10
Sample-027,424027,6.6,Musquash,Zone_2a_10
Sample-028,424028,5.4,Musquash,Zone_2a_1
Sample-029,424029,5.4,Musquash,Zone_2a_1
Sample-030,424030,5.4,Musquash,Zone_2a_1
Sample-031,424031,7,Musquash,Musq_25
Sample-032,424032,7,Musquash,Musq_25
Sample-033,424033,7,Musquash,Musq_25
Sample-034,424034,5.6,Musquash,Musq_27
Sample-035,424035,5.6,Musquash,Musq_27
Sample-036,424036,5.6,Musquash,Musq_27
Sample-037,424037,7.8,Musquash,Musq_29
Sample-038,424038,7.8,Musquash,Musq_29
Sample-039,424039,7.8,Musquash,Musq_29
Sample-040,424040,14.7,Musquash,Musq_31
Sample-041,424041,14.7,Musquash,Musq_31
Sample-042,424042,14.7,Musquash,Musq_31
Sample-043,424043,9.3,Musquash,Musq_19
Sample-044,424044,9.3,Musquash,Musq_19
Sample-045,424045,9.3,Musquash,Musq_19
Sample-046,424046,4.7,Musquash,Musq_01
Sample-047,424047,4.7,Musquash,Musq_01
Sample-048,424048,4.7,Musquash,Musq_01
Sample-049,424049,4.9,Musquash,Musq_03
Sample-050,424050,4.9,Musquash,Musq_03
Sample-051,424051,4.9,Musquash,Musq_03
Sample-052,424052,5.7,Musquash,Musq_05
Sample-053,424053,5.7,Musquash,Musq_05
Sample-054,424054,5.7,Musquash,Musq_05
Sample-055,424055,6.8,Musquash,Musq_07
Sample-056,424056,6.8,Musquash,Musq_07
Sample-057,424057,6.8,Musquash,Musq_07
Sample-058,424058,6.1,Musquash,Musq_09
Sample-059,424059,6.1,Musquash,Musq_09
Sample-060,424060,6.1,Musquash,Musq_09
Sample-061,424061,5.7,Musquash,Musq_11
Sample-062,424062,5.7,Musquash,Musq_11
Sample-063,424063,5.7,Musquash,Musq_11
Sample-064,424064,6.3,Musquash,Musq_13
Sample-065,424065,6.3,Musquash,Musq_13
Sample-066,424066,6.3,Musquash,Musq_13
Sample-067,424067,5.7,Musquash,Musq_15
Sample-068,424068,5.7,Musquash,Musq_15
Sample-069,424069,5.7,Musquash,Musq_15
Sample-070,424070,5.7,Musquash,Musq_17
Sample-071,424071,5.7,Musquash,Musq_17
Sample-072,424072,5.7,Musquash,Musq_17
Sample-073,424073,13.1,Musquash,Musq_21
Sample-074,424074,13.1,Musquash,Musq_21
Sample-075,424075,13.1,Musquash,Musq_21
Sample-076,424076,4.4,Musquash,Musq_23
Sample-077,424077,4.4,Musquash,Musq_23
Sample-078,424078,4.4,Musquash,Musq_23
Sample-079,424079,0,Musquash,BLANK
Sample-080,424080,16.76,Musquash,Temporal
Sample-081,424081,16.76,Musquash,Temporal
Sample-082,424082,7.89,Musquash,Temporal
Sample-083,424083,7.89,Musquash,Temporal
Sample-084,424084,7.6,Musquash,Temporal
Sample-085,424085,7.6,Musquash,Temporal
Sample-086,424086,15.71,Musquash,Temporal
Sample-087,PCRNEG1,0,Musquash,NEG
Sample-088,PCRNEG2,0,Musquash,NEG
Sample-089,PCRNEG3,0,Musquash,NEG
Sample-090,ENEG1,0,Musquash,NEG
Sample-091,ENEG2,0,Musquash,NEG
Sample-092,ENEG3,0,Musquash,NEG
